#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.0%	5000	-29456.870173933974	295.27778350029786	0	--
0.1%	10000	-29803.57022830192	311.67106295498274	115	8:20:28
0.1%	15000	-30190.512278346432	290.54274772638473	116	8:14:24
0.1%	20000	-30307.507327851315	294.28860113709675	116	8:16:16
0.1%	25000	-29898.014336068154	304.2964686768138	117	8:13:17
0.1%	30000	-29808.651356843708	300.1818859859927	117	8:13:19
0.2%	35000	-29876.98267587222	305.29737351825213	117	8:12:13
0.2%	40000	-30064.197370706563	294.9040103320941	117	8:12:20
0.2%	45000	-29892.045626040053	298.1007979891124	117	8:12:12
0.2%	50000	-29802.714303153305	311.3686947933099	117	8:12:18
0.3%	55000	-30272.50291481818	295.4147926677449	117	8:11:47
0.3%	60000	-29919.996630170324	292.01146383935287	117	8:12:22
0.3%	65000	-30190.612161272147	296.3103692906611	117	8:11:32
0.3%	70000	-29589.029292974097	296.44774203523264	117	8:12:04
0.4%	75000	-30205.613960746152	296.7264094049215	117	8:11:11
0.4%	80000	-30083.02801297314	308.32234273023954	117	8:11:40
0.4%	85000	-30469.905329013854	301.9071398508416	117	8:10:51
0.5%	90000	-29904.771912422206	306.6914010668562	117	8:11:19
0.5%	95000	-30268.302919179492	309.2901466097179	117	8:10:37
0.5%	100000	-30166.94829596614	293.495147761434	117	8:11:01
0.5%	105000	-29802.51683474172	300.8609206948306	117	8:10:25
0.6%	110000	-30483.06790266253	298.9614299486716	117	8:10:38
0.6%	115000	-30062.99717898501	294.83337163051425	117	8:10:19
0.6%	120000	-30040.026171364443	296.96453109154686	117	8:10:28
0.6%	125000	-29868.889706342306	312.3261938588128	117	8:10:11
0.7%	130000	-30073.774364760466	305.82859007885276	117	8:10:16
0.7%	135000	-29948.65038719133	301.4759603051775	117	8:10:01
0.7%	140000	-30222.987894846156	297.70363509698706	117	8:10:09
0.7%	145000	-30089.829467866395	299.77591994031644	117	8:09:50
0.8%	150000	-29674.090139165957	300.32648052833355	117	8:10:07
0.8%	155000	-29961.263413218025	283.59977811456105	117	8:09:53
0.8%	160000	-29951.652675680903	299.7370956525231	117	8:10:09
0.8%	165000	-30171.012832441134	304.49776480859305	117	8:09:47
0.8%	170000	-30295.814777574647	290.65066772654916	117	8:10:02
0.9%	175000	-29978.7506348374	291.80002739766627	117	8:09:43
0.9%	180000	-29960.779452287796	300.89273953591163	117	8:09:56
0.9%	185000	-29910.89192380436	297.10008293422845	117	8:09:40
0.9%	190000	-29953.9127459343	304.61869495520955	116	8:09:48
1.0%	195000	-29993.583239359723	297.40708511254644	116	8:09:39
1.0%	200000	-29709.342933128763	299.75642060680224	116	8:09:43
1.0%	205000	-30475.23447977833	296.4051694366212	116	8:09:36
1.1%	210000	-30062.86855830651	294.567054496416	116	8:09:39
1.1%	215000	-30108.534595313336	297.3704846442357	116	8:09:30
1.1%	220000	-29954.89599346099	308.13706343471557	116	8:09:34
1.1%	225000	-29914.50526242741	298.5129773055814	116	8:09:19
1.1%	230000	-29977.19666259311	289.04214496382684	116	8:09:30
1.2%	235000	-30276.64663477466	306.03155275876094	116	8:09:15
1.2%	240000	-30027.498035957717	295.5751398561168	116	8:09:24
1.2%	245000	-29928.25660743116	305.298761722994	116	8:09:10
1.2%	250000	-30316.377426475665	295.3261425524194	116	8:09:18
1.3%	255000	-29897.515047920082	300.5417128812465	116	8:09:06
1.3%	260000	-29892.99456626043	311.36869110303877	116	8:09:10
1.3%	265000	-29924.972483127378	300.3617528659583	116	8:09:06
1.4%	270000	-29991.68500911788	301.26300176549086	116	8:09:10
1.4%	275000	-30199.63222934102	293.85324161919954	116	8:09:04
1.4%	280000	-30427.87566336844	297.8319952294593	116	8:09:05
1.4%	285000	-30103.387073086633	293.87866329298186	116	8:08:59
1.4%	290000	-29723.200905003963	295.99131419693543	116	8:09:01
1.5%	295000	-29770.97643678641	294.90171728533767	116	8:08:52
1.5%	300000	-30186.332945322414	286.08093036473184	116	8:08:57
1.5%	305000	-29955.602860347688	297.8179640594326	116	8:08:48
1.6%	310000	-30150.8748922057	283.51702200455895	116	8:08:53
1.6%	315000	-29909.89913836363	290.14892220060995	116	8:08:45
1.6%	320000	-29854.174105435144	286.97520942561584	116	8:08:47
1.6%	325000	-30132.03206776493	297.5880731004156	116	8:08:40
1.6%	330000	-29690.473150655132	297.81370053034857	116	8:08:39
1.7%	335000	-29737.915722251666	308.15154158172254	116	8:08:37
1.7%	340000	-30196.095012332313	301.69995660010113	116	8:08:33
1.7%	345000	-29974.84760106585	288.9949105015119	116	8:08:32
1.8%	350000	-29967.17046603482	299.4960110565597	116	8:08:31
1.8%	355000	-30096.153298626217	296.8140207447811	116	8:08:28
1.8%	360000	-30235.929572561407	306.7994613923218	116	8:08:26
1.8%	365000	-30170.21875487099	300.0761382259294	116	8:08:22
1.9%	370000	-30044.53338079824	285.26083838950854	116	8:08:21
1.9%	375000	-30209.9250693839	303.4964984059126	116	8:08:18
1.9%	380000	-29860.786088790046	304.20945547630606	116	8:08:18
1.9%	385000	-29989.445860479143	313.6481897015114	116	8:08:14
1.9%	390000	-30019.511002980667	310.3789879200746	116	8:08:11
2.0%	395000	-30090.306187827257	301.3414862144338	116	8:08:08
2.0%	400000	-30054.418523705972	297.1028192423627	116	8:08:04
2.0%	405000	-30045.66937771658	307.82831908475055	116	8:08:04
2.0%	410000	-30271.113982090115	295.54603693804285	116	8:08:00
2.1%	415000	-30012.113978610316	291.70343400189336	116	8:07:59
2.1%	420000	-30216.282141241158	302.6943248451272	116	8:07:56
2.1%	425000	-30131.31123284495	303.1284032845581	116	8:07:53
2.1%	430000	-30091.73802478303	295.93674762761935	116	8:07:52
2.2%	435000	-29891.237415420794	290.4550153482021	116	8:07:47
2.2%	440000	-30087.957226219325	304.23169587341124	115	8:07:45
2.2%	445000	-30094.549270351912	308.5559781563597	115	8:07:41
2.2%	450000	-30241.725551427342	304.15929414205425	115	8:07:39
2.3%	455000	-30118.56038983629	299.55778837287164	115	8:07:36
2.3%	460000	-29640.957093246107	319.27478796284134	115	8:07:33
2.3%	465000	-29711.19011016056	295.8394789062102	115	8:07:30
