#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.0%	5000	-30021.744631961017	296.4981556982944	0	--
0.1%	10000	-30040.79119571304	291.2474728701568	121	7:57:21
0.1%	15000	-29999.85668614501	297.4667402324248	119	8:04:24
0.1%	20000	-30236.619784351642	295.1990093425613	119	8:02:58
0.1%	25000	-30011.252882803383	299.5244394580053	119	8:04:49
0.1%	30000	-29940.969976645254	304.2430550829923	119	8:04:24
0.2%	35000	-29890.26236708698	301.672052806559	118	8:06:14
0.2%	40000	-29962.355674024962	292.3645779900188	118	8:05:52
0.2%	45000	-29934.726422641543	295.7881616472955	118	8:06:47
0.2%	50000	-30277.11927495501	300.9685361015631	118	8:06:16
0.3%	55000	-30094.723655423528	294.8680995516704	118	8:06:30
0.3%	60000	-30215.275764770427	294.7474575072553	118	8:05:58
0.3%	65000	-30170.742855816527	308.49460031803505	118	8:06:12
0.3%	70000	-29813.39754579641	300.01232106327376	118	8:05:51
0.4%	75000	-30039.03280633074	286.61813076654636	118	8:06:00
0.4%	80000	-30505.373363429884	299.96769581246105	118	8:05:48
0.4%	85000	-30050.23310740711	306.6984044659777	118	8:06:01
0.5%	90000	-29564.762926264142	305.6788832793919	118	8:05:55
0.5%	95000	-30310.53046577639	309.61728196496955	118	8:05:58
0.5%	100000	-29863.200330419088	290.40207497790885	118	8:05:57
0.5%	105000	-30091.73252067418	301.1933686230143	118	8:05:54
0.6%	110000	-29733.837296920043	285.2114403077343	118	8:06:01
0.6%	115000	-30197.476046541706	304.2766967684875	118	8:05:52
0.6%	120000	-30038.592281326622	304.46537563636235	118	8:06:05
0.6%	125000	-29752.29105249737	294.2388021362344	118	8:05:55
0.7%	130000	-30220.740717100853	302.53762241855594	118	8:06:13
0.7%	135000	-30202.230475245044	296.984050317234	118	8:06:01
0.7%	140000	-30059.09620721679	301.3304587643742	118	8:06:13
0.7%	145000	-29840.73537383208	303.8206860631731	118	8:06:03
0.8%	150000	-29933.516982945817	290.851649525373	118	8:06:10
0.8%	155000	-30103.346678563423	289.35160129910014	118	8:06:16
0.8%	160000	-30190.841739236523	296.14753923577086	117	8:06:18
0.8%	165000	-29731.58484323154	292.69699899241976	117	8:06:11
0.8%	170000	-30010.256643698638	295.71211835156373	117	8:06:12
0.9%	175000	-30275.888946212886	303.03462740649655	117	8:06:09
0.9%	180000	-29903.283041720628	300.8196087145042	117	8:06:09
0.9%	185000	-29840.507687171397	292.2880432757848	117	8:06:00
0.9%	190000	-29799.980939461762	301.1430454713342	117	8:06:06
1.0%	195000	-30052.77627360029	298.56841952686955	117	8:05:56
1.0%	200000	-29992.07390584718	304.6571236853655	117	8:06:05
1.0%	205000	-30128.127100024984	295.3086048306935	117	8:05:52
1.1%	210000	-30077.217219700688	303.2380008592744	117	8:06:02
1.1%	215000	-29992.217968718178	302.66100665804765	117	8:05:53
1.1%	220000	-29799.687947554135	287.0617188057745	117	8:06:01
1.1%	225000	-30330.571660571848	288.2642587821282	117	8:05:55
1.1%	230000	-29907.539392913284	294.2097756166093	117	8:05:59
1.2%	235000	-30170.133526385325	304.9733648482876	117	8:05:55
1.2%	240000	-29963.49728151277	302.7456466027934	117	8:05:55
